ccaa,year,fisica,candidates,take_up,mean,pass_pct,d_take_up,d_mean,d_take_up_nc,d_mean_nc
País Vasco,2024,2341.0,12077.0,0.1938395296845243,6.09,72.99,-1.1604900181842321,-0.05999999999999961,,
País Vasco,2025,2597.0,12321.0,0.21077834591348105,5.47,62.31,-0.48370155991278474,-0.6799999999999997,-1.8128267089292407,-0.3766666666666678
Rioja (La),2015,195.0,1116.0,0.17473118279569894,5.76,66.9,-1.643863444784721,-1.0900000000000007,-1.4449388279936035,-0.4283333333333328
Rioja (La),2016,220.0,1154.0,0.19064124783362218,5.89,71.61,-1.2946710402979686,-0.9600000000000009,-1.02614759949571,-0.2983333333333329
Rioja (La),2017,256.0,1092.0,0.23443223443223443,6.33,75.5,-0.33355115368733784,-0.5200000000000005,0.12653663096180778,0.1416666666666675
Rioja (La),2018,315.0,1201.0,0.2622814321398834,6.61,79.36,0.2776800567056446,-0.2400000000000002,0.8595945847078863,0.42166666666666774
Rioja (La),2019,304.0,1174.0,0.25894378194207834,6.15,74.81,0.20442566741627372,-0.7000000000000002,0.7717395933358663,-0.03833333333333222
Rioja (La),2020,351.0,1557.0,0.2254335260115607,6.97,79.94,-0.5310538429095569,0.11999999999999922,,
Rioja (La),2021,380.0,1357.0,0.2800294767870302,8.31,94.44,0.667212240923817,1.46,,
Rioja (La),2022,435.0,1411.0,0.3082919914953933,7.43,85.71,1.2875148886082624,0.5799999999999992,,
Rioja (La),2023,445.0,1367.0,0.32553035844915873,7.85,90.02,1.6658607213664698,0.9999999999999991,,
Rioja (La),2024,328.0,1433.0,0.2288904396371249,7.66,90.76,-0.45518187267332755,0.8099999999999996,,
Rioja (La),2025,382.0,1488.0,0.2567204301075269,6.39,75.77,0.15562777933244223,-0.46000000000000085,0.7132156184837563,0.2016666666666671
