ccaa,year,sitting,phase,[0-5),[5-6),[6-7),[7-8),[8-9),[9-10]
Comunitat Valenciana,2016,ordinary,specific,28.5,19.3,14.49,14.36,12.41,10.92
Comunitat Valenciana,2017,extraordinary,specific,42.32,21.16,14.85,8.53,7.85,5.29
Comunitat Valenciana,2017,ordinary,specific,24.88,17.53,14.71,14.89,12.76,15.23
Comunitat Valenciana,2018,extraordinary,specific,65.15,15.69,6.2,5.29,4.56,3.1
Comunitat Valenciana,2018,ordinary,specific,25.2,17.52,13.13,14.41,13.32,16.43
Comunitat Valenciana,2019,extraordinary,specific,63.46,14.14,7.37,7.82,3.91,3.31
Comunitat Valenciana,2019,ordinary,specific,29.46,17.12,13.94,13.4,13.42,12.66
Comunitat Valenciana,2020,extraordinary,specific,47.29,15.38,13.96,7.69,9.12,6.55
Comunitat Valenciana,2020,ordinary,specific,27.04,14.86,13.37,15.54,15.19,14.02
Comunitat Valenciana,2021,extraordinary,specific,56.1,15.96,7.28,7.51,4.93,8.22
Comunitat Valenciana,2021,ordinary,specific,23.07,17.09,14.92,15.2,15.65,14.08
Comunitat Valenciana,2022,extraordinary,specific,53.82,15.61,11.63,8.64,5.65,4.65
Comunitat Valenciana,2022,ordinary,specific,17.37,12.74,13.56,16.63,19.17,20.53
Comunitat Valenciana,2023,extraordinary,specific,35.68,20.7,13.51,12.04,8.52,9.54
Comunitat Valenciana,2023,ordinary,specific,23.11,17.42,16.04,17.07,14.71,11.65
Comunitat Valenciana,2024,extraordinary,specific,58.15,18.33,8.51,6.06,4.04,4.91
Comunitat Valenciana,2024,ordinary,specific,15.1,11.71,14.01,17.4,21.83,19.94
Comunitat Valenciana,2025,extraordinary,specific,52.19,20.21,10.37,7.38,6.31,3.53
Comunitat Valenciana,2025,ordinary,specific,30.36,18.15,15.77,14.96,11.97,8.78
Estado,2015,extraordinary,specific,64.86,8.11,10.81,5.41,2.7,8.11
Estado,2015,ordinary,specific,56.84,9.18,9.96,8.98,5.47,9.57
Estado,2016,extraordinary,specific,65.63,9.38,3.13,12.5,6.25,3.13
Estado,2016,ordinary,specific,52.39,8.76,8.17,6.18,9.96,14.54
Estado,2017,extraordinary,specific,70.54,11.63,3.88,4.65,6.2,3.1
Estado,2017,ordinary,general,28.17,18.31,11.27,15.49,19.72,7.04
Estado,2017,ordinary,specific,52.15,19.31,11.07,8.98,6.77,1.72
Estado,2018,extraordinary,specific,75.71,11.43,6.43,1.43,2.86,2.14
Estado,2018,ordinary,general,30.3,10.61,16.67,21.21,19.7,1.52
Estado,2018,ordinary,specific,50.39,10.19,8.54,10.87,9.51,10.49
Estado,2019,extraordinary,specific,79.43,10.29,6.29,2.86,0.57,0.57
Estado,2019,ordinary,general,50.75,14.93,13.43,7.46,5.97,7.46
Estado,2019,ordinary,specific,69.98,12.56,7.42,3.83,3.43,2.77
Estado,2020,extraordinary,specific,57.79,11.04,9.74,7.79,5.19,8.44
Estado,2020,ordinary,general,32.98,10.64,10.64,19.15,9.57,17.02
Estado,2020,ordinary,specific,55.62,9.17,8.93,8.68,9.09,8.51
Estado,2021,extraordinary,specific,68.53,7.69,7.69,4.9,4.2,6.99
Estado,2021,ordinary,general,57.97,8.7,7.25,14.49,7.25,4.35
Estado,2021,ordinary,specific,65.67,8.62,7.09,6.6,6.6,5.42
Estado,2022,extraordinary,specific,71.94,9.18,8.16,4.08,4.08,2.55
Estado,2022,ordinary,general,44.44,5.56,9.72,9.72,11.11,19.44
Estado,2022,ordinary,specific,63.49,7.21,5.52,7.03,7.27,9.48
Estado,2023,extraordinary,specific,76.6,3.72,9.04,4.79,3.72,2.13
Estado,2023,ordinary,general,38.98,13.56,13.56,15.25,10.17,8.47
Estado,2023,ordinary,specific,69.87,7.96,6.21,6.81,5.86,3.3
Estado,2024,extraordinary,specific,68.24,10.3,6.01,6.87,4.29,4.29
Estado,2024,ordinary,general,24.24,16.67,10.61,24.24,12.12,12.12
Estado,2024,ordinary,specific,65.2,9.44,6.38,5.86,5.91,7.2
Estado,2025,extraordinary,specific,68.67,12.05,7.83,5.42,4.22,1.81
Estado,2025,ordinary,general,25,14.58,6.25,18.75,12.5,22.92
Estado,2025,ordinary,specific,64.05,8.24,7.07,6.5,7.2,6.94
Extremadura,2015,extraordinary,general,67.35,12.24,12.24,4.08,4.08,
Extremadura,2015,extraordinary,specific,71.21,18.18,5.3,3.03,1.52,0.76
Extremadura,2015,ordinary,general,19.51,12.68,17.07,11.22,20.49,19.02
Extremadura,2015,ordinary,specific,18.77,12.6,13.65,15.35,15.62,24.02
Extremadura,2016,extraordinary,general,20,6.67,20,22.22,4.44,26.67
Extremadura,2016,extraordinary,specific,33.33,16.24,14.53,11.11,10.26,14.53
Extremadura,2016,ordinary,general,31.75,15.34,14.81,17.46,9.52,11.11
Extremadura,2016,ordinary,specific,33.29,13.4,14.53,12.69,14.67,11.42
Extremadura,2017,extraordinary,specific,51.7,21.09,8.84,8.84,5.44,4.08
Extremadura,2017,ordinary,specific,38.1,15.24,14.05,11.19,11.67,9.76
Extremadura,2018,extraordinary,specific,82.48,7.3,3.65,2.19,2.19,2.19
Extremadura,2018,ordinary,specific,34.86,14.03,10.69,12.03,10.24,18.15
Extremadura,2019,extraordinary,specific,72.88,12.71,7.63,3.39,0.85,2.54
Extremadura,2019,ordinary,specific,28.73,12.36,9.58,12.73,11.88,24.73
Extremadura,2020,extraordinary,specific,53.85,17.31,13.46,5.77,,9.62
Extremadura,2020,ordinary,specific,22.23,8.47,9.14,10.95,11.96,37.25
Extremadura,2021,extraordinary,specific,40.23,10.34,16.09,9.2,9.2,14.94
Extremadura,2021,ordinary,specific,11.73,6.08,6.3,8.69,12.7,54.51
Extremadura,2022,extraordinary,specific,40,15,15.83,11.67,5,12.5
Extremadura,2022,ordinary,specific,6.33,4.92,7.54,7.94,14.97,58.29
Extremadura,2023,extraordinary,specific,46.53,9.9,9.9,14.85,8.91,9.9
Extremadura,2023,ordinary,specific,6.46,4.34,5.72,7.01,16.05,60.42
Extremadura,2024,extraordinary,specific,63.45,14.48,9.66,8.28,2.76,1.38
Extremadura,2024,ordinary,specific,28.05,9.8,11.24,12.51,14.02,24.38
Extremadura,2025,extraordinary,specific,58.33,11.36,9.85,11.36,4.55,4.55
Extremadura,2025,ordinary,specific,29.66,16.5,11.94,11.64,12.04,18.22
Galicia,2015,extraordinary,general,72.73,16.67,4.55,4.55,,1.52
Galicia,2015,extraordinary,specific,84.73,8,4.36,1.09,1.82,
Galicia,2015,ordinary,general,30.97,10.62,12.39,16.52,14.16,15.34
Galicia,2015,ordinary,specific,45.2,12.34,10.86,11.71,11.43,8.47
Galicia,2016,extraordinary,general,90,,6,2,,2
